2026-07-11 10:38:35,973 | INFO | chunker.py | Page 27 has 287 tokens
2026-07-11 10:38:35,977 | INFO | chunker.py | Page 28 has 233 tokens
2026-07-11 10:38:35,977 | INFO | chunker.py | Page 29 has 102 tokens
2026-07-11 10:38:35,977 | INFO | chunker.py | Page 30 has 210 tokens
2026-07-11 10:38:35,979 | INFO | chunker.py | Page 31 has 162 tokens
2026-07-11 10:38:35,979 | INFO | chunker.py | Page 32 has 259 tokens
2026-07-11 10:38:35,981 | INFO | chunker.py | Page 33 has 282 tokens
2026-07-11 10:38:35,983 | INFO | chunker.py | Page 35 has 245 tokens
2026-07-11 10:38:35,983 | INFO | chunker.py | Page 36 has 238 tokens
2026-07-11 10:38:35,985 | INFO | chunker.py | Page 37 has 237 tokens
2026-07-11 10:38:35,985 | INFO | chunker.py | Page 38 has 126 tokens
2026-07-11 10:38:35,987 | INFO | chunker.py | Page 39 has 205 tokens
2026-07-11 10:38:35,987 | INFO | chunker.py | Page 40 has 242 tokens
2026-07-11 10:38:35,989 | INFO | chunker.py | Page 41 has 183 tokens
2026-07-11 10:38:35,989 | INFO | chunker.py | Page 42 has 182 tokens
2026-07-11 10:38:35,989 | INFO | chunker.py | Page 43 has 185 tokens
2026-07-11 10:38:35,992 | INFO | chunker.py | Page 44 has 260 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 45 has 292 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 47 has 250 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 48 has 282 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 49 has 207 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 50 has 161 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 51 has 250 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 52 has 282 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 53 has 138 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 54 has 224 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 55 has 235 tokens
2026-07-11 10:38:35,994 | INFO | chunker.py | Page 56 has 237 tokens
